Product_Name,Company,Export_Country,Date,Units_Sold,Unit_Price,Profit_Per_Unit,Export_Value,Destination_Port,Transportation_Mode
Rubber,Farmgate Nigeria Limited,Austria,2023-11-16,721,31443.05,5863.92,22670439.05,Lagos,Sea
Palm Oil,Prime Agro Exports Nigeria Limited,Germany,2021-01-08,881,23151.97,5868.73,20396885.57,Lagos,Sea
Cassava,Farmgate Nigeria Limited,Germany,2020-10-14,702,18536.45,5105.01,13012587.9,Calabar,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Belgium,2022-12-31,191,21981.31,7781.54,4198430.21,Warri,Sea
Sesame,Nigeria Agro Export Company,France,2022-12-19,373,13415.94,9590.95,5004145.62,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Netherlands,2021-07-13,593,44749.95,4498.48,26536720.35,Lagos,Sea
Rubber,Solid Agro Nigeria Limited,Denmark,2022-02-22,142,21985.66,5963.85,3121963.72,Lagos,Sea
Sesame,Nigerian Export Promotion Council (NEPC),Sweden,2021-03-22,990,16931.73,3464.19,16762412.7,Calabar,Sea
Rubber,Agro Export Nigeria Ltd,Denmark,2022-08-01,606,17896.94,5326.45,10845545.64,Lagos,Sea
Cashew,Golden Farms Nigeria Limited,Netherlands,2020-11-26,900,42463.53,5468.54,38217177,Lagos,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Switzerland,2022-12-10,192,23536.16,2812.83,4518942.72,Lagos,Sea
Ginger,Agriplus Nigeria Limited,Italy,2021-06-21,566,15516.87,3043.78,8782548.42,Warri,Sea
Cashew,Agriplus Nigeria Limited,Denmark,2022-08-26,220,37731.49,5466.27,8300927.8,Warri,Sea
Cassava,Agro Allied Exporters Nigeria Limited,Spain,2020-10-14,963,29641.1,7617.73,28544379.3,Calabar,Sea
Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,2023-07-10,700,24041.35,3922.05,16828945,Lagos,Sea
Plantain,Golden Farms Nigeria Limited,Sweden,2021-06-19,341,20126.79,5442.89,6863235.39,Calabar,Sea
Rubber,Solid Agro Nigeria Limited,Austria,2022-06-17,250,27849.16,4734.07,6962290,Lagos,Sea
Cassava,Agro Export Nigeria Ltd,Denmark,2021-03-14,641,22151.23,9884.51,14198938.43,Port Harcourt,Sea
Rubber,Farmgate Nigeria Limited,Sweden,2021-06-27,393,23647.19,5405.19,9293345.67,Lagos,Sea
Plantain,Nigeria Agro Export Company,Netherlands,2023-12-23,592,32644.13,7497.09,19325324.96,Lagos,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Belgium,2022-08-24,194,24659.84,5943.96,4784008.96,Port Harcourt,Sea
Cocoa,Agriplus Nigeria Limited,Sweden,2022-06-02,438,43305.68,9195.72,18967887.84,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,France,2020-07-14,347,11714.81,2929.83,4065039.07,Lagos,Sea
Cashew,Golden Farms Nigeria Limited,Sweden,2022-10-13,238,31839.65,8488.97,7577836.7,Lagos,Sea
Rubber,Greenfield Agro Exporters Nigeria Limited,Netherlands,2023-09-24,246,39938.99,9327.05,9824991.54,Lagos,Sea
Cocoa,Solid Agro Nigeria Limited,Sweden,2022-06-09,930,40089.03,8651.12,37282797.9,Port Harcourt,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Sweden,2023-07-03,218,34380.18,5264.59,7494879.24,Lagos,Sea
